pair_id,customer_tweet_id,brand_tweet_id,customer_text,brand_reply,created_at,source,weak_intent
11509_11508,11509,11508,@TwitterSupport I’ve gotten locked out of my personal account and I want to get back into it I need help,@118209 We are here to help. Please send us a message and we'll get started looking into this for you.,Wed Nov 01 00:39:42 +0000 2017,kaggle,suspension_or_lock
11511_11510,11511,11510,@TwitterSupport need your help guys,@118210 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Wed Nov 01 00:52:00 +0000 2017,kaggle,thanks_or_other
11513_11512,11513,11512,@TwitterSupport help me!!!!! ASAP Pleaseeee,"@118211 Hi, please send us a message and we'll look into this with you.",Tue Oct 31 23:36:11 +0000 2017,kaggle,thanks_or_other
11515_11514,11515,11514,@118213 Hi @TwitterSupport please can u delete this account I am being harassed x,"@118212 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Tue Oct 31 23:26:24 +0000 2017,kaggle,safety_or_abuse
11524_11523,11524,11523,@794 This person has violated my personal privacy by publishing a home address. She has two accounts @795&amp; @789,@118214 We are here to help. Please send us a message and we'll get started looking into this for you.,Tue Oct 31 23:11:58 +0000 2017,kaggle,privacy_or_data
15241_15240,15241,15240,@119335 @TwitterSupport Threatening violence. Please respond.,@119334 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Wed Nov 01 01:22:50 +0000 2017,kaggle,safety_or_abuse
20408_20407,20408,20407,@TwitterSupport need help as someone created our company profile on Twitter and left job but we are not able to retrieve login information,"@120457 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Wed Nov 01 05:59:13 +0000 2017,kaggle,account_access
20410_20409,20410,20409,@TwitterSupport I need help ASAP,@120458 We are here to help. Please send us a message and we'll get started looking into this for you.,Wed Nov 01 05:23:21 +0000 2017,kaggle,thanks_or_other
34444_34443,34444,34443,@TwitterSupport help,@123464 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Wed Nov 01 12:40:08 +0000 2017,kaggle,thanks_or_other
35075_35074,35075,35074,@TwitterSupport I need help with my account please,@123630 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Sun Dec 03 17:32:14 +0000 2017,kaggle,thanks_or_other
59499_59498,59499,59498,@TwitterSupport hii I need your help,@129568 We are here to help. Please send us a message and we'll get started looking into this for you.,Wed Nov 01 19:48:59 +0000 2017,kaggle,thanks_or_other
59501_59500,59501,59500,@TwitterSupport @129570 please cancel this users account for threatening me with bodily injury.,@129569 We are here to help. Please send us a message and we'll get started looking into this for you.,Wed Nov 01 18:28:22 +0000 2017,kaggle,safety_or_abuse
90212_90211,90212,90211,@TwitterSupport I need HELP!,"@135572 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Thu Nov 30 13:52:19 +0000 2017,kaggle,thanks_or_other
90214_90213,90214,90213,@123765 @135574 @TwitterSupport @123765 Help me : @135574,"@135573 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Thu Nov 30 11:46:44 +0000 2017,kaggle,thanks_or_other
107829_107828,107829,107828,@139965 @139966 @6297 twitter he’s bullying me @twittersupport,@139964 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Thu Nov 23 16:14:19 +0000 2017,kaggle,safety_or_abuse
107834_107833,107834,107833,@139968 @139969 @TwitterSupport im getting threats,"@139967 Hi, thanks for getting in touch. Please send us a message and we'll get started working through this.",Thu Nov 23 17:05:51 +0000 2017,kaggle,safety_or_abuse
107840_107839,107840,107839,@TwitterSupport I need help from twitter support,@139970 We are here to help. Please send us a message and we'll get started looking into this for you.,Thu Nov 23 16:51:00 +0000 2017,kaggle,thanks_or_other
107945_107944,107945,107944,.@123765 @TwitterSupport @129570 I am reporting the below account as it is promoting violence and possible personal injury and death.,@139971 We are here to help. Please send us a message and we'll get started looking into this for you.,Thu Nov 23 15:02:21 +0000 2017,kaggle,safety_or_abuse
121015_121014,121015,121014,@142932 @TwitterSupport @TwitterSupport she’s threatening me!,@142931 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Thu Nov 23 21:50:22 +0000 2017,kaggle,safety_or_abuse
121016_121017,121016,121017,@142931 @TwitterSupport she’s sending me death threats !,@142932 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Thu Nov 23 21:47:11 +0000 2017,kaggle,safety_or_abuse
121020_121019,121020,121019,@142934 @TwitterSupport this user is harassing me!,@142933 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Thu Nov 23 21:29:39 +0000 2017,kaggle,safety_or_abuse
121028_121027,121028,121027,@TwitterSupport Abusive man alert. -&gt;&gt;,@142935 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Thu Nov 23 20:54:28 +0000 2017,kaggle,thanks_or_other
121030_121029,121030,121029,Another threat to @6842 by a violent Islamist! @TwitterSupport @12 please ban him,@142936 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Thu Nov 23 19:38:41 +0000 2017,kaggle,suspension_or_lock
132327_132326,132327,132326,@145856 @TwitterSupport help,"@145855 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Fri Nov 24 06:06:33 +0000 2017,kaggle,thanks_or_other
132331_132330,132331,132330,@123765 @TwitterSupport please help,@145857 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Fri Nov 24 05:02:32 +0000 2017,kaggle,thanks_or_other
141772_141771,141772,141771,@8280 @TwitterSupport i’m being bullied by this user,@147984 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Fri Nov 24 09:44:54 +0000 2017,kaggle,thanks_or_other
141775_141774,141775,141774,@TwitterSupport i need help,"@147985 Hi there, we're here to help. Please send us a message and we can work on getting this sorted.",Fri Nov 24 09:17:14 +0000 2017,kaggle,thanks_or_other
154824_154823,154824,154823,I was literally beaten up in a violent hate crime please help @TwitterSupport,@151496 Thanks for getting in touch. Send us a message and we'll get started helping you out.,Fri Nov 24 16:53:20 +0000 2017,kaggle,safety_or_abuse
154826_154825,154826,154825,@TwitterSupport please suspend @9053 she is maintaining twitter boyfriends and provoking them to harass other heroine fans !!,@151497 Thanks for letting us know about this. Please send us a message and we can begin working on this issue.,Fri Nov 24 16:35:16 +0000 2017,kaggle,safety_or_abuse
